"security_id","exchange_id","code_id","full_name","name","ename","underlying_security_id","t_uint","p_uint","fs_p_uint","mf_price","ft_margins","ce_multiplier","pre_settle_price","up_limit_price","down_limit_price","rtd","type_code","security_type","cc_type","list_date","delist_date","dl_month","l_price","l_tdl_date","c_months_desc","t_hours_desc","lt_dated_desc","d_data_desc","dmean_desc","dsite_desc","lt_date_hour_desc","contract_value_desc","max_price_fluct_desc","post_limit_desc","source_type","update_time"
"A0001","DCE","A","黄大豆1号0001合约","豆一0001","DCE-A0001",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19990118","20000118","200001","0","20000125","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:57"
"A0003","DCE","A","黄大豆1号0003合约","豆一0003","DCE-A0003",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19990315","20000314","200003","0","20000323","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:56"
"A0005","DCE","A","黄大豆1号0005合约","豆一0005","DCE-A0005",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19990518","20000519","200005","0","20000530","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:55"
"A0007","DCE","A","黄大豆1号0007合约","豆一0007","DCE-A0007",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19990715","20000714","200007","0","20000725","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:55"
"A0009","DCE","A","黄大豆1号0009合约","豆一0009","DCE-A0009",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19990915","20000914","200009","0","20000925","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:55"
"A0011","DCE","A","黄大豆1号0011合约","豆一0011","DCE-A0011",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","19991115","20001114","200011","0","20001123","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:56"
"A0101","DCE","A","黄大豆1号0101合约","豆一0101","DCE-A0101",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","20000119","20010115","200101","0","20010207","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:56"
"A0103","DCE","A","黄大豆1号0103合约","豆一0103","DCE-A0103",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","20000315","20010314","200103","0","20010323","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:57"
"A0105","DCE","A","黄大豆1号0105合约","豆一0105","DCE-A0105",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","20000522","20010521","200105","2250","20010530","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:55"
"A0107","DCE","A","黄大豆1号0107合约","豆一0107","DCE-A0107",,"吨","10","人民币元/吨","1","最低交易保证金:合约价值的5%","1","0","0","0","1","703001008","1","0","20000717","20010713","200107","2180","20010724","1,3,5,7,9,11","上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)","合约月份的第10个交易日","最后交易日后第3个交易日","实物交割","大连商品交易所指定交割仓库",,,"上一交易日结算价的4%",,"1","12/3/2020 08:30:54"
